配置,模型,指标,均值
仅关闭信息素下界保护,第二个 GP 表达式,2-opt 后路径平均 gap（%）,1.305921149943814
仅关闭信息素下界保护,第二个 GP 表达式,构造路径最优 gap（%）,3.0472341724128293
仅关闭信息素下界保护,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,0.9085636727510716
仅关闭信息素下界保护,第二个 GP 表达式,构造路径较优七条平均 gap（%）,3.522318387151203
仅关闭信息素下界保护,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.018277237155157
仅关闭信息素下界保护,第二个 GP 表达式,同轮同来源内更新树输出的标准差,0.1081241352282017
仅关闭信息素下界保护,第二个 GP 表达式,更新树输出饱和比例,0.9164982949999999
仅关闭信息素下界保护,第二个 GP 表达式,2-opt 平均改进（百分点）,3.500865343151125
仅关闭信息素下界保护,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9676259159374999
仅关闭信息素下界保护,第二个 GP 表达式,每百轮改进全局最优的次数,0.936625
仅关闭信息素下界保护,第二个 GP 表达式,信息素下界触发比例,0.0
仅关闭信息素下界保护,第二个 GP 表达式,每百轮重启次数,0.166125
仅关闭信息素下界保护,第二个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭信息素下界保护,第三个 GP 表达式,实际强化路径的平均 gap（%）,1.0083655352000032
仅关闭信息素下界保护,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.028414205458325507
仅关闭信息素下界保护,第三个 GP 表达式,强化路径年龄（轮）,269.89289
仅关闭信息素下界保护,第三个 GP 表达式,用于历史来源的预算比例,0.7128174999999999
仅关闭信息素下界保护,第三个 GP 表达式,构造路径平均 gap（%）,6.171247060491516
仅关闭信息素下界保护,第三个 GP 表达式,2-opt 后路径平均 gap（%）,1.5345200983366838
仅关闭信息素下界保护,第三个 GP 表达式,构造路径最优 gap（%）,4.039858316876804
仅关闭信息素下界保护,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,1.0367797406583288
仅关闭信息素下界保护,第三个 GP 表达式,构造路径较优七条平均 gap（%）,4.640754412157773
仅关闭信息素下界保护,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.1791438235139422
仅关闭信息素下界保护,第三个 GP 表达式,同轮同来源内更新树输出的标准差,0.13728333082202043
仅关闭信息素下界保护,第三个 GP 表达式,更新树输出饱和比例,0.019221485
仅关闭信息素下界保护,第三个 GP 表达式,2-opt 平均改进（百分点）,4.636726506875295
仅关闭信息素下界保护,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9575936177343749
仅关闭信息素下界保护,第三个 GP 表达式,每百轮改进全局最优的次数,0.936625
仅关闭信息素下界保护,第三个 GP 表达式,信息素下界触发比例,0.0
仅关闭信息素下界保护,第三个 GP 表达式,每百轮重启次数,0.16525
仅关闭信息素下界保护,第三个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭信息素下界保护,三个 GP 表达式均值,实际强化路径的平均 gap（%）,0.9615288009916856
仅关闭信息素下界保护,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,0.024727934101690018
仅关闭信息素下界保护,三个 GP 表达式均值,强化路径年龄（轮）,271.811955
仅关闭信息素下界保护,三个 GP 表达式均值,用于历史来源的预算比例,0.7130104166666666
仅关闭信息素下界保护,三个 GP 表达式均值,构造路径平均 gap（%）,5.660154115085372
仅关闭信息素下界保护,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,1.4453295809086582
仅关闭信息素下界保护,三个 GP 表达式均值,构造路径最优 gap（%）,3.6670025969439703
仅关闭信息素下界保护,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,0.9862567350933756
仅关闭信息素下界保护,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,4.219234364757412
仅关闭信息素下界保护,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,1.1157806548614102
仅关闭信息素下界保护,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,0.13021815198194114
仅关闭信息素下界保护,三个 GP 表达式均值,更新树输出饱和比例,0.41931505916666667
仅关闭信息素下界保护,三个 GP 表达式均值,2-opt 平均改进（百分点）,4.214824353652978
仅关闭信息素下界保护,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,0.9613912750781249
仅关闭信息素下界保护,三个 GP 表达式均值,每百轮改进全局最优的次数,0.938875
仅关闭信息素下界保护,三个 GP 表达式均值,信息素下界触发比例,0.0
仅关闭信息素下界保护,三个 GP 表达式均值,每百轮重启次数,0.16491666666666666
仅关闭信息素下界保护,三个 GP 表达式均值,每轮硬上界裁剪次数,0.0
关闭下界保护与历史路径强化,不使用 GP,实际强化路径的平均 gap（%）,2.173367703886072
关闭下界保护与历史路径强化,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭下界保护与历史路径强化,不使用 GP,强化路径年龄（轮）,0.0
关闭下界保护与历史路径强化,不使用 GP,用于历史来源的预算比例,0.0
关闭下界保护与历史路径强化,不使用 GP,构造路径平均 gap（%）,14.145270279268528
关闭下界保护与历史路径强化,不使用 GP,2-opt 后路径平均 gap（%）,3.430156344289023
关闭下界保护与历史路径强化,不使用 GP,构造路径最优 gap（%）,9.699527568401152
关闭下界保护与历史路径强化,不使用 GP,2-opt 后本轮最优 gap（%）,2.173367703886072
关闭下界保护与历史路径强化,不使用 GP,构造路径较优七条平均 gap（%）,11.180891070337855
关闭下界保护与历史路径强化,不使用 GP,2-opt 后较优七条平均 gap（%）,2.5839813458803484
关闭下界保护与历史路径强化,不使用 GP,同轮同来源内更新树输出的标准差,0.0
关闭下界保护与历史路径强化,不使用 GP,更新树输出饱和比例,0.0
关闭下界保护与历史路径强化,不使用 GP,2-opt 平均改进（百分点）,10.715113659422617
关闭下界保护与历史路径强化,不使用 GP,同一路径经 2-opt 后的边保留率,0.8918796522656249
关闭下界保护与历史路径强化,不使用 GP,每百轮改进全局最优的次数,0.74125
关闭下界保护与历史路径强化,不使用 GP,信息素下界触发比例,0.0
关闭下界保护与历史路径强化,不使用 GP,每百轮重启次数,0.1065
关闭下界保护与历史路径强化,不使用 GP,每轮硬上界裁剪次数,0.0
关闭下界保护与历史路径强化,第一个 GP 表达式,实际强化路径的平均 gap（%）,1.3582231641121298
关闭下界保护与历史路径强化,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭下界保护与历史路径强化,第一个 GP 表达式,强化路径年龄（轮）,0.0
关闭下界保护与历史路径强化,第一个 GP 表达式,用于历史来源的预算比例,0.0
关闭下界保护与历史路径强化,第一个 GP 表达式,构造路径平均 gap（%）,7.515070449269978
关闭下界保护与历史路径强化,第一个 GP 表达式,2-opt 后路径平均 gap（%）,1.9545839264393043
关闭下界保护与历史路径强化,第一个 GP 表达式,构造路径最优 gap（%）,5.058753391850863
关闭下界保护与历史路径强化,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,1.3582231641121298
关闭下界保护与历史路径强化,第一个 GP 表达式,构造路径较优七条平均 gap（%）,5.7747989179931265
关闭下界保护与历史路径强化,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.5350744684401365
关闭下界保护与历史路径强化,第一个 GP 表达式,同轮同来源内更新树输出的标准差,0.18825284381138463
关闭下界保护与历史路径强化,第一个 GP 表达式,更新树输出饱和比例,0.3295078275
关闭下界保护与历史路径强化,第一个 GP 表达式,2-opt 平均改进（百分点）,5.560486377466777
关闭下界保护与历史路径强化,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,0.948129439765625
关闭下界保护与历史路径强化,第一个 GP 表达式,每百轮改进全局最优的次数,0.780625
关闭下界保护与历史路径强化,第一个 GP 表达式,信息素下界触发比例,0.0
关闭下界保护与历史路径强化,第一个 GP 表达式,每百轮重启次数,0.203375
关闭下界保护与历史路径强化,第一个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭下界保护与历史路径强化,第二个 GP 表达式,实际强化路径的平均 gap（%）,1.2437040113654683
关闭下界保护与历史路径强化,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭下界保护与历史路径强化,第二个 GP 表达式,强化路径年龄（轮）,0.0
关闭下界保护与历史路径强化,第二个 GP 表达式,用于历史来源的预算比例,0.0
关闭下界保护与历史路径强化,第二个 GP 表达式,构造路径平均 gap（%）,6.266185150962659
关闭下界保护与历史路径强化,第二个 GP 表达式,2-opt 后路径平均 gap（%）,1.747949239005252
关闭下界保护与历史路径强化,第二个 GP 表达式,构造路径最优 gap（%）,4.146480900117156
关闭下界保护与历史路径强化,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,1.2437040113654683
关闭下界保护与历史路径强化,第二个 GP 表达式,构造路径较优七条平均 gap（%）,4.7443447403995975
关闭下界保护与历史路径强化,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.3895404954957336
