cohort,variant,condition,mode,model,instance_hash,replicate,gap,auc
P1,mmas,C111,legacy,baseline,2a78504d8521fea3b334b8cc425229ab371ae4f1db5b5fa6c082d577136d7e54,4,0.06913802950923031,0.280231991657052
P1,mmas,C111,legacy,baseline,cdc8dd28019c0a8867a8eaea8f0438a5f58fd6be2b9bdb1358082e5b52eb7175,0,0.03610403901463943,0.2841863115510287
P1,mmas,C111,legacy,baseline,cdc8dd28019c0a8867a8eaea8f0438a5f58fd6be2b9bdb1358082e5b52eb7175,1,0.005459802675589209,0.27526273067882584
P1,mmas,C111,legacy,baseline,cdc8dd28019c0a8867a8eaea8f0438a5f58fd6be2b9bdb1358082e5b52eb7175,2,0.019898168815246642,0.24187024328549
P1,mmas,C111,legacy,baseline,cdc8dd28019c0a8867a8eaea8f0438a5f58fd6be2b9bdb1358082e5b52eb7175,3,0.014438366139679637,0.2532909930330196
P1,mmas,C111,legacy,baseline,cdc8dd28019c0a8867a8eaea8f0438a5f58fd6be2b9bdb1358082e5b52eb7175,4,0.2175621428396335,0.33834894681474553
P1,mmas,C111,legacy,baseline,e65eb6d4338265ef469e361a94a40cd659d86a0635fdbeedead4c1bdf96fc5fa,0,8.881784197001252e-14,0.22794916943950774
P1,mmas,C111,legacy,baseline,e65eb6d4338265ef469e361a94a40cd659d86a0635fdbeedead4c1bdf96fc5fa,1,6.661338147750939e-14,0.18337847257536855
P1,mmas,C111,legacy,baseline,e65eb6d4338265ef469e361a94a40cd659d86a0635fdbeedead4c1bdf96fc5fa,2,0.0464959734886472,0.2516856710897079
P1,mmas,C111,legacy,baseline,e65eb6d4338265ef469e361a94a40cd659d86a0635fdbeedead4c1bdf96fc5fa,3,0.046495973488669406,0.23533605558126333
P1,mmas,C111,legacy,baseline,e65eb6d4338265ef469e361a94a40cd659d86a0635fdbeedead4c1bdf96fc5fa,4,0.09802579093032282,0.2176116038181547
P1,mmas,C111,legacy,baseline,47ce56d79806eb48004f3257db138e9a30e381e4ffc4f16ab7df0be3fb10835b,0,0.01032122470243646,0.17887732080762714
P1,mmas,C111,legacy,baseline,47ce56d79806eb48004f3257db138e9a30e381e4ffc4f16ab7df0be3fb10835b,1,0.01032122470243646,0.35952468051006037
P1,mmas,C111,legacy,baseline,47ce56d79806eb48004f3257db138e9a30e381e4ffc4f16ab7df0be3fb10835b,2,0.01032122470243646,0.3161818269142339
P1,mmas,C111,legacy,baseline,47ce56d79806eb48004f3257db138e9a30e381e4ffc4f16ab7df0be3fb10835b,3,0.04730121676561616,0.30169516470205865
P1,mmas,C111,legacy,baseline,47ce56d79806eb48004f3257db138e9a30e381e4ffc4f16ab7df0be3fb10835b,4,0.01032122470243646,0.2790844264659965
P1,mmas,C111,legacy,baseline,2bf9abeed5088851382c77916acb3e64f6ae4c405f620b7e045eadd0f465afb5,0,0.04401326922816029,0.27988342232866287
P1,mmas,C111,legacy,baseline,2bf9abeed5088851382c77916acb3e64f6ae4c405f620b7e045eadd0f465afb5,1,0.04401326922816029,0.17704368361797151
P1,mmas,C111,legacy,baseline,2bf9abeed5088851382c77916acb3e64f6ae4c405f620b7e045eadd0f465afb5,2,0.08904602573767129,0.2663191629361022
P1,mmas,C111,legacy,baseline,2bf9abeed5088851382c77916acb3e64f6ae4c405f620b7e045eadd0f465afb5,3,0.017489323619268582,0.25543756161019515
P1,mmas,C111,legacy,baseline,2bf9abeed5088851382c77916acb3e64f6ae4c405f620b7e045eadd0f465afb5,4,0.08618828575566173,0.17670708836753168
P1,mmas,C111,legacy,baseline,98571daf08e6aef1926760f7d6401bba7190b12cbbf837bde9d7578b5ea288c6,0,0.1351068685269352,0.29121900745270407
P1,mmas,C111,legacy,baseline,98571daf08e6aef1926760f7d6401bba7190b12cbbf837bde9d7578b5ea288c6,1,0.07671889216931405,0.17151796446151082
P1,mmas,C111,legacy,baseline,98571daf08e6aef1926760f7d6401bba7190b12cbbf837bde9d7578b5ea288c6,2,0.03671332511849812,0.17785918363309597
P1,mmas,C111,legacy,baseline,98571daf08e6aef1926760f7d6401bba7190b12cbbf837bde9d7578b5ea288c6,3,0.07671889216929184,0.21139078390641852
P1,mmas,C111,legacy,baseline,98571daf08e6aef1926760f7d6401bba7190b12cbbf837bde9d7578b5ea288c6,4,0.0361247636821771,0.2390693660974135
P1,mmas,C111,legacy,baseline,c0b4dcf3723c1007705628c3826b083c7a395a34588d6e7785b06b6dbecbcea5,0,0.06157845119358907,0.24775663128270353
P1,mmas,C111,legacy,baseline,c0b4dcf3723c1007705628c3826b083c7a395a34588d6e7785b06b6dbecbcea5,1,0.041552229767449766,0.16726113512111646
P1,mmas,C111,legacy,baseline,c0b4dcf3723c1007705628c3826b083c7a395a34588d6e7785b06b6dbecbcea5,2,-1.1102230246251565e-13,0.26515066828353695
P1,mmas,C111,legacy,baseline,c0b4dcf3723c1007705628c3826b083c7a395a34588d6e7785b06b6dbecbcea5,3,0.041552229767449766,0.3252932931785761
P1,mmas,C111,legacy,baseline,c0b4dcf3723c1007705628c3826b083c7a395a34588d6e7785b06b6dbecbcea5,4,0.041552229767449766,0.1597136477805937
P1,mmas,C111,legacy,baseline,21bbb509e0dacf5589d76d4a422773bb63e8acb2c91a4c098e47ead3a762d5e9,0,0.11680757985950141,0.3129123234357787
P1,mmas,C111,legacy,baseline,21bbb509e0dacf5589d76d4a422773bb63e8acb2c91a4c098e47ead3a762d5e9,1,0.05820352082246405,0.2611485860834649
P1,mmas,C111,legacy,baseline,21bbb509e0dacf5589d76d4a422773bb63e8acb2c91a4c098e47ead3a762d5e9,2,0.1467932818434381,0.2610716270529925
P1,mmas,C111,legacy,baseline,21bbb509e0dacf5589d76d4a422773bb63e8acb2c91a4c098e47ead3a762d5e9,3,0.048416962904607175,0.14328520936560712
P1,mmas,C111,legacy,baseline,21bbb509e0dacf5589d76d4a422773bb63e8acb2c91a4c098e47ead3a762d5e9,4,0.05820352082246405,0.352393489846253
P1,mmas,C111,legacy,baseline,6f2c06b0287db0ec00bd08cf8c1a47d7a71aa43fe93cc98b70fcf4d65ef82185,0,-4.440892098500626e-14,0.2656455696248473
P1,mmas,C111,legacy,baseline,6f2c06b0287db0ec00bd08cf8c1a47d7a71aa43fe93cc98b70fcf4d65ef82185,1,0.08287796792456614,0.29233037848490023
P1,mmas,C111,legacy,baseline,6f2c06b0287db0ec00bd08cf8c1a47d7a71aa43fe93cc98b70fcf4d65ef82185,2,-4.440892098500626e-14,0.3175205052678788
P1,mmas,C111,legacy,baseline,6f2c06b0287db0ec00bd08cf8c1a47d7a71aa43fe93cc98b70fcf4d65ef82185,3,0.04354753894206809,0.19921590034761008
P1,mmas,C111,legacy,baseline,6f2c06b0287db0ec00bd08cf8c1a47d7a71aa43fe93cc98b70fcf4d65ef82185,4,0.27079775544458506,0.37886492257863974
P1,mmas,C111,legacy,baseline,7c163d0affbe03d4ae16ac41005a9e1dde74947d559554605e9deeecd8459db0,0,0.11269663644073447,0.26530446975849625
P1,mmas,C111,legacy,baseline,7c163d0affbe03d4ae16ac41005a9e1dde74947d559554605e9deeecd8459db0,1,0.15957386398763873,0.2925588152668234
P1,mmas,C111,legacy,baseline,7c163d0affbe03d4ae16ac41005a9e1dde74947d559554605e9deeecd8459db0,2,0.032808498509706574,0.20482390981353152
P1,mmas,C111,legacy,baseline,7c163d0affbe03d4ae16ac41005a9e1dde74947d559554605e9deeecd8459db0,3,0.032808498509706574,0.14166939027097347
P1,mmas,C111,legacy,baseline,7c163d0affbe03d4ae16ac41005a9e1dde74947d559554605e9deeecd8459db0,4,0.032808498509706574,0.1344934262015042
P1,mmas,C111,legacy,baseline,d79e1bd7f68e281dde91ad175938ffa634d254949a9c3c60d43645e20d2ccc94,0,0.11438100805856166,0.2613171389505706
P1,mmas,C111,legacy,baseline,d79e1bd7f68e281dde91ad175938ffa634d254949a9c3c60d43645e20d2ccc94,1,0.16618598805595575,0.3417632360651028
P1,mmas,C111,legacy,baseline,d79e1bd7f68e281dde91ad175938ffa634d254949a9c3c60d43645e20d2ccc94,2,0.10346333082809078,0.33399028934804376
P1,mmas,C111,legacy,baseline,d79e1bd7f68e281dde91ad175938ffa634d254949a9c3c60d43645e20d2ccc94,3,0.1060367576563026,0.295770740284554
P1,mmas,C111,legacy,baseline,d79e1bd7f68e281dde91ad175938ffa634d254949a9c3c60d43645e20d2ccc94,4,0.12164925477005095,0.21961367228802128
P1,mmas,C111,legacy,baseline,404b12375d33fd68efaf58357d09b35a325eefa63a2db19df7bd7155a77ac913,0,0.07230407987075527,0.36561555301540627
P1,mmas,C111,legacy,baseline,404b12375d33fd68efaf58357d09b35a325eefa63a2db19df7bd7155a77ac913,1,0.2355579121030793,0.4525354941321022
P1,mmas,C111,legacy,baseline,404b12375d33fd68efaf58357d09b35a325eefa63a2db19df7bd7155a77ac913,2,0.21901520440565925,0.3069014603701264
P1,mmas,C111,legacy,baseline,404b12375d33fd68efaf58357d09b35a325eefa63a2db19df7bd7155a77ac913,3,0.24090062790309563,0.3516904913476492
P1,mmas,C111,legacy,baseline,404b12375d33fd68efaf58357d09b35a325eefa63a2db19df7bd7155a77ac913,4,0.38317240751772896,0.46982767563978817
P1,mmas,C111,legacy,81001,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,0,0.30438952011415665,0.41127930229769866
P1,mmas,C111,legacy,81001,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,1,0.33315366099162524,0.4247318299184389
P1,mmas,C111,legacy,81001,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,2,0.29177280503329683,0.3824444167375445
P1,mmas,C111,legacy,81001,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,3,0.29177280503329683,0.4385207115583404
P1,mmas,C111,legacy,81001,64dce4c1c6064a2177aea0c91c340a745336561ff2336d9d334412d773629702,4,0.009067814084207093,0.3327213483071053
P1,mmas,C111,legacy,81001,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,0,0.082475829353168,0.21170381649506967
P1,mmas,C111,legacy,81001,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,1,0.20095148698691112,0.26290977930117415
P1,mmas,C111,legacy,81001,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,2,0.06003500497098191,0.1492663076837544
P1,mmas,C111,legacy,81001,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,3,0.1609021582375414,0.3279065339003157
P1,mmas,C111,legacy,81001,8c2aea8c07fadcc280e2d4bf57007a1865ed1c83394dae87d26f82c3066dd939,4,0.06093733590188943,0.2488557403194739
P1,mmas,C111,legacy,81001,c68fdea30da2719067238a8704e3f57eeb34f7e2c5767e624520f6a2a860ea50,0,0.10715494809074855,0.17512321135147166
