task,cohort,variant,condition,mode,instances,gpu_model,host,visible_gpu,wall_seconds_last_attempt,full_horizon_timing,diagnostic_bytes
numeric-pair-mmas-s0-b24--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,253.86482050595805,True,336850095
numeric-pair-mmas-s0-b24--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,260.0597474789247,True,338618042
numeric-pair-mmas-s0-b24--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,275.35333197331056,True,338934810
numeric-pair-mmas-s1-b00--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,261.0757288457826,True,337898062
numeric-pair-mmas-s1-b00--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,264.0777416760102,True,339259819
numeric-pair-mmas-s1-b00--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,216.79420342901722,False,338943959
numeric-pair-mmas-s1-b08--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,265.6979078250006,True,335116104
numeric-pair-mmas-s1-b08--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,269.17633969243616,True,336229440
numeric-pair-mmas-s1-b08--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,286.2976562809199,True,336340761
numeric-pair-mmas-s1-b16--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,250.20254076691344,True,335145434
numeric-pair-mmas-s1-b16--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,264.9049811619334,True,337022643
numeric-pair-mmas-s1-b16--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,278.49713933607563,True,337768101
numeric-pair-mmas-s1-b24--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,269.12406960781664,True,337883201
numeric-pair-mmas-s1-b24--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,275.44578929711133,True,338888400
numeric-pair-mmas-s1-b24--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,288.82026224490255,True,338876581
numeric-pair-mmas-s2-b00--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,206.56286989105865,False,336845312
numeric-pair-mmas-s2-b00--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,262.3920228499919,True,338246076
numeric-pair-mmas-s2-b00--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,277.10318355914205,True,338047419
numeric-pair-mmas-s2-b08--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,234.2449448974803,True,334585861
numeric-pair-mmas-s2-b08--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,237.56803943309933,True,336309806
numeric-pair-mmas-s2-b08--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,245.46361412107944,True,335760459
numeric-pair-mmas-s2-b16--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,252.37706104293466,True,335340622
numeric-pair-mmas-s2-b16--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,259.74725964665413,True,337718030
numeric-pair-mmas-s2-b16--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,273.5180218638852,True,337755740
numeric-pair-mmas-s2-b24--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,250.66140960296616,True,337247995
numeric-pair-mmas-s2-b24--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,264.26632462395355,True,339266777
numeric-pair-mmas-s2-b24--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,277.1279528392479,True,339091782
numeric-pair-mmas-s3-b00--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,263.6416450338438,True,336583228
